credit_score,geography,gender,age,tenure,balance,num_of_products,has_cr_card,is_active_member,estimated_salary,exited
583,Germany,Male,40,4.0,107041.3,1,1,1,5635.63,0
530,Spain,Male,37,4.0,0.0,2,1,1,164844.37,0
516,Spain,Female,27,1.0,0.0,1,0,1,112311.15,0
729,Spain,Male,31,8.0,164870.81,2,1,1,9567.39,0
701,Germany,Male,36,7.0,95448.32,2,1,0,189085.07,0
534,France,Male,29,7.0,174851.9,1,1,1,79178.31,0
509,Spain,Female,25,3.0,108738.71,2,1,0,106920.57,0
849,France,Female,41,6.0,0.0,2,1,1,169203.51,1
834,France,Female,49,8.0,160602.25,2,1,0,129273.94,0
570,France,Female,43,9.0,0.0,2,0,1,11417.26,0
632,France,Female,34,2.0,0.0,2,0,0,165385.55,0
623,France,Female,57,7.0,71481.79,2,1,1,84421.34,0
480,France,Female,28,3.0,0.0,2,0,0,48131.92,0
763,France,Female,53,4.0,0.0,1,1,0,77203.72,1
660,France,Male,38,4.0,0.0,2,0,0,88080.43,0
491,Germany,Male,19,2.0,125860.2,1,0,0,129690.5,0
823,France,Female,44,1.0,0.0,2,0,1,182495.7,0
422,France,Female,33,2.0,0.0,2,1,0,102655.31,0
625,Germany,Female,37,4.0,142711.81,1,1,0,35625.41,0
580,Spain,Female,57,0.0,136820.99,1,0,1,108528.74,0
667,France,Male,44,2.0,122806.95,1,0,0,15120.86,0
594,France,Male,57,6.0,0.0,1,1,0,19376.56,1
680,Spain,Female,30,3.0,0.0,1,1,0,160131.58,0
800,France,Male,60,4.0,88541.57,2,1,1,131718.12,0
722,France,Female,38,5.0,0.0,2,0,1,167984.72,0
705,Germany,Female,46,4.0,115518.07,1,0,0,76544.9,1
579,Spain,Male,37,4.0,0.0,2,1,1,32246.63,0
496,France,Female,29,7.0,0.0,2,1,0,164806.89,0
803,France,Female,65,2.0,151659.52,2,0,1,6930.17,0
653,France,Male,37,7.0,135847.47,1,1,0,144880.81,0
762,Germany,Male,46,6.0,123571.77,3,0,1,57014.17,1
631,Spain,Male,29,3.0,0.0,2,1,1,197963.46,0
618,France,Male,39,2.0,91068.56,1,1,0,26578.69,0
838,Spain,Male,35,0.0,0.0,2,0,1,197305.91,0
620,France,Male,41,6.0,97925.11,1,1,0,85000.32,0
697,France,Male,35,5.0,133087.76,1,1,0,64771.61,0
694,France,Male,30,2.0,0.0,3,0,1,15039.41,0
714,Spain,Male,27,3.0,0.0,3,1,1,129130.09,0
774,France,Female,36,9.0,114997.42,1,1,0,75304.09,0
627,Germany,Female,30,4.0,79871.02,2,1,0,129826.89,0
726,Spain,Female,56,2.0,105473.74,1,1,1,46044.7,0
685,Germany,Male,38,4.0,111798.06,2,1,1,102184.66,0
747,France,Male,61,7.0,155973.13,1,0,1,147554.26,0
518,France,Male,42,7.0,151027.05,2,1,0,119377.36,0
691,Spain,Male,36,7.0,129934.64,1,0,0,75664.56,1
515,Germany,Male,37,2.0,90432.92,1,1,1,188366.04,1
755,France,Female,29,3.0,0.0,3,1,0,4733.94,0
763,France,Female,58,9.0,187911.55,1,0,1,35825.18,0
573,France,Female,27,10.0,0.0,2,1,1,157549.6,0
490,France,Female,40,1.0,0.0,1,1,1,49594.19,1
534,Spain,Female,33,3.0,151233.62,1,0,0,199336.63,0
643,Spain,Female,35,6.0,0.0,2,1,1,41549.64,0
578,France,Male,45,1.0,148600.91,1,1,0,143397.14,1
596,France,Male,33,4.0,139451.67,1,0,0,63142.12,0
645,Spain,Male,49,2.0,0.0,2,0,0,10023.15,0
667,Germany,Female,48,1.0,97133.92,2,0,0,113316.77,1
489,France,Female,47,8.0,103894.38,2,1,1,107625.46,0
850,France,Female,42,9.0,113311.11,1,1,1,198193.75,0
617,Spain,Male,42,0.0,70105.87,1,1,1,120830.73,0
833,Germany,Male,59,1.0,130854.59,1,1,1,30722.52,1
632,France,Male,43,2.0,100013.51,1,1,0,24275.32,0
550,France,Female,48,6.0,0.0,2,1,1,191870.28,0
655,Spain,Female,28,3.0,113811.85,2,0,1,76844.23,0
468,France,Female,32,8.0,137649.47,1,0,0,198714.29,0
642,France,Male,72,1.0,160541.0,2,1,1,142223.94,0
590,Spain,Female,51,1.0,84474.62,2,1,1,190937.09,0
670,Spain,Male,25,7.0,0.0,2,1,1,78358.94,0
713,France,Female,37,8.0,0.0,1,1,1,16403.41,0
610,Spain,Female,31,5.0,0.0,2,0,0,63736.36,0
701,Spain,Male,35,10.0,159693.9,2,1,1,71173.64,0
609,Spain,Male,32,4.0,99883.16,1,1,1,120594.85,0
675,Spain,Male,32,10.0,0.0,2,1,0,191545.65,0
577,France,Female,39,10.0,0.0,2,1,0,10553.31,0
726,France,Female,24,6.0,0.0,2,1,1,54724.03,0
652,Germany,Male,46,10.0,121063.8,3,1,0,151481.86,1
661,France,Male,39,5.0,0.0,2,0,0,181461.46,0
606,Spain,Female,46,1.0,0.0,2,1,1,183717.94,0
709,Spain,Female,45,2.0,0.0,2,0,1,162922.65,0
647,France,Female,33,4.0,0.0,1,1,0,152323.04,0
709,France,Male,37,7.0,0.0,1,1,0,159486.76,0
365,Germany,Male,30,0.0,127760.07,1,1,0,81537.85,1
607,Germany,Male,47,4.0,148826.32,1,1,1,79450.61,0
762,Spain,Female,26,7.0,123709.46,2,1,1,169654.57,0
528,France,Male,31,6.0,102016.72,2,0,0,80181.12,0
644,Germany,Female,32,8.0,141528.88,1,1,1,167087.34,1
613,Germany,Male,33,3.0,155736.42,2,1,1,57751.21,0
528,Germany,Male,32,2.0,99092.45,1,0,1,111149.98,0
518,Germany,Male,29,9.0,125961.74,2,1,0,160303.08,1
687,Germany,Female,47,1.0,91219.29,1,0,0,158845.49,1
537,France,Female,45,7.0,158621.04,1,1,0,120892.96,1
547,France,Male,62,10.0,127738.75,2,1,1,85153.0,0
675,France,Female,57,8.0,0.0,2,0,1,95463.29,0
439,France,Male,28,7.0,110976.23,2,1,0,138526.96,0
575,France,Male,36,1.0,0.0,1,0,1,94570.56,0
787,France,Female,42,10.0,145988.65,2,1,1,79510.37,0
689,France,Male,34,1.0,165312.27,1,1,0,155495.63,0
712,France,Male,24,2.0,0.0,1,0,1,121232.51,0
435,France,Male,36,1.0,0.0,1,1,1,197015.2,0
802,Germany,Male,37,9.0,115569.21,1,0,1,119782.89,0
733,France,Female,24,3.0,161884.99,1,1,1,9617.24,0
682,Spain,Female,64,9.0,0.0,2,1,1,103318.44,0
655,France,Male,27,2.0,131691.33,1,1,0,49480.66,0
600,France,Female,37,4.0,0.0,3,1,0,7312.25,1
568,France,Male,28,5.0,145105.64,2,1,0,185489.11,0
725,France,Male,45,1.0,129855.32,1,0,0,24218.65,0
642,Germany,Male,41,4.0,157777.58,1,1,0,67484.6,0
719,France,Male,69,3.0,0.0,2,1,1,58320.06,0
509,Spain,Male,41,7.0,126683.8,1,0,1,114775.53,0
639,France,Female,38,4.0,81550.94,2,0,1,118974.77,0
711,Spain,Female,28,5.0,0.0,2,1,1,93959.96,0
585,Germany,Female,40,3.0,162261.01,2,1,0,137028.51,0
430,France,Female,33,8.0,0.0,1,1,1,69759.91,0
667,Germany,Male,27,2.0,138032.15,1,1,0,166317.71,0
714,France,Male,34,5.0,141173.03,1,0,1,98896.06,0
660,France,Male,41,3.0,0.0,2,1,1,108665.89,0
572,France,Female,39,2.0,0.0,2,1,1,555.28,0
732,Germany,Female,42,2.0,118889.66,2,0,0,87422.15,0
663,Germany,Male,49,7.0,116150.65,3,1,1,84358.71,1
692,Germany,Male,45,6.0,142084.04,4,1,0,188305.85,1
607,France,Male,45,7.0,123859.6,1,0,1,113051.57,0
631,Germany,Female,22,6.0,139129.92,1,1,1,63747.51,0
557,Germany,Female,38,2.0,129893.56,1,0,0,102076.03,0
534,France,Male,41,9.0,0.0,2,1,0,13871.34,0
762,France,Male,35,9.0,0.0,2,1,1,43075.7,0
512,France,Female,31,7.0,0.0,2,0,0,49326.07,0
629,France,Female,37,10.0,99546.25,3,0,1,25136.95,1
563,Spain,Male,26,7.0,0.0,2,0,0,6139.74,0
597,France,Female,29,1.0,132144.35,1,1,0,158086.33,0
639,Germany,Female,41,5.0,98635.77,1,1,0,199970.74,0
760,Germany,Male,29,5.0,103607.24,2,0,1,86334.64,0
703,France,Male,28,2.0,81173.83,2,0,1,162812.16,0
677,France,Female,24,3.0,148298.59,2,0,0,182913.95,0
775,France,Female,32,2.0,108698.96,2,1,1,161069.73,0
696,France,Male,22,9.0,149777.0,1,1,1,198032.93,0
628,Germany,Male,40,5.0,181768.32,2,1,1,129107.97,0
